RANK,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,REB,AST,STL,BLK
1,Shai Gilgeous-Alexander,OKC,76,2598,2484,860,1656,51.9,163,435,37.5,601,669,379,486,131,77
2,Anthony Edwards,MIN,79,2871,2177,721,1612,44.7,320,811,39.5,415,496,450,359,91,51
3,Nikola Jokic,DEN,70,2571,2071,786,1364,57.6,138,331,41.7,361,451,892,716,127,45
4,Giannis Antetokounmpo,MIL,67,2289,2036,793,1319,60.1,14,63,22.2,436,707,798,433,58,78
5,Jayson Tatum,BOS,72,2624,1932,662,1465,45.2,250,728,34.3,358,440,623,431,76,38
6,Devin Booker,PHX,75,2795,1923,654,1420,46.1,183,551,33.2,432,483,305,529,67,16
7,Trae Young,ATL,76,2739,1841,566,1376,41.1,218,642,34,491,561,236,880,91,12
8,Tyler Herro,MIA,77,2725,1840,651,1378,47.2,251,670,37.5,287,327,399,424,69,17
9,Cade Cunningham,DET,70,2452,1830,684,1457,46.9,149,418,35.6,313,370,425,638,71,53
10,James Harden,LAC,79,2789,1802,531,1295,41,235,668,35.2,505,578,456,687,118,55
11,Karl-Anthony Towns,NYK,72,2517,1759,639,1215,52.6,142,338,42,339,409,920,222,71,50
12,Zach LaVine,SAC,74,2603,1724,625,1223,51.1,239,536,44.6,235,285,315,310,58,12
13,Jalen Green,HOU,82,2697,1723,608,1437,42.3,234,661,35.4,273,336,377,282,71,27
14,Stephen Curry,GSW,70,2252,1718,564,1258,44.8,311,784,39.7,279,299,310,421,80,30
15,DeMar DeRozan,SAC,77,2768,1710,624,1308,47.7,84,256,32.8,378,441,298,342,62,32
15,LeBron James,LAL,70,2444,1710,651,1270,51.3,149,396,37.6,259,331,546,575,70,39
17,Donovan Mitchell,CLE,71,2232,1701,585,1320,44.3,233,633,36.8,298,362,322,354,95,17
18,Jalen Brunson,NYK,65,2301,1690,585,1200,48.8,152,397,38.3,368,448,187,475,60,8
